"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2024","133.89","137.23","137.90","133.01","2.42M","-2.06%"
"10/24/2024","136.70","138.00","138.66","136.63","1.87M","-0.44%"
"10/23/2024","137.30","138.45","139.30","136.95","2.01M","-0.25%"
"10/22/2024","137.64","137.49","139.35","136.97","3.91M","0.58%"
"10/21/2024","136.85","137.00","138.95","136.20","2.04M","0.46%"
"10/18/2024","136.23","137.00","137.95","135.25","2.50M","-0.04%"
"10/17/2024","136.28","139.69","141.50","135.90","3.38M","-1.84%"
"10/16/2024","138.84","141.60","141.88","137.60","2.73M","-1.48%"
"10/15/2024","140.93","135.50","143.00","134.00","6.21M","4.63%"
"10/14/2024","134.70","133.60","135.90","133.00","2.20M","1.28%"
"10/11/2024","133.00","135.33","136.25","125.06","6.41M","-2.67%"
"10/10/2024","136.65","140.00","140.00","134.25","4.56M","-3.37%"
"10/09/2024","141.42","143.43","144.60","138.20","6.44M","-1.46%"
"10/08/2024","143.51","143.00","147.20","142.75","11.45M","-1.37%"
"10/07/2024","145.50","143.11","149.45","141.00","16.18M","1.96%"
"10/04/2024","142.70","135.54","146.89","135.39","19.20M","5.71%"
"10/03/2024","134.99","134.99","135.85","133.81","4.45M","0.93%"
"10/02/2024","133.75","131.50","135.89","131.49","8.25M","1.51%"
"10/01/2024","131.76","129.89","132.00","129.70","3.00M","1.20%"
"09/30/2024","130.20","129.75","131.85","128.51","6.68M","2.36%"
"09/27/2024","127.20","130.01","130.01","125.30","2.44M","-1.70%"
"09/26/2024","129.40","131.50","132.00","129.00","2.98M","0.00%"
