Date,Price,Open,High,Low,Vol.,Change %
12/06/2024,118.9,122.4,122.8,118.75,3.77M,-2.09%
12/05/2024,121.44,115.15,125.0,114.8,30.14M,6.43%
12/04/2024,114.1,110.25,115.0,109.75,17.56M,3.55%
12/03/2024,110.19,109.55,110.7,109.2,4.35M,0.82%
12/02/2024,109.29,108.7,110.29,108.0,6.40M,0.54%
11/29/2024,108.7,109.7,110.71,108.42,7.27M,-0.69%
11/28/2024,109.45,110.5,111.49,109.0,5.79M,-0.82%
11/27/2024,110.36,108.0,110.87,108.0,14.13M,5.61%
11/26/2024,104.5,110.74,111.95,103.0,17.27M,-5.63%
11/25/2024,110.74,109.58,110.98,109.0,13.31M,1.06%
11/22/2024,109.58,111.0,111.14,109.03,5.50M,-0.88%
11/21/2024,110.55,111.69,111.69,110.02,3.74M,-1.08%
11/20/2024,111.76,110.66,112.88,108.66,13.92M,1.07%
11/19/2024,110.58,111.88,111.88,110.35,2.45M,-0.48%
11/18/2024,111.11,112.5,112.78,110.7,3.37M,-1.20%
11/15/2024,112.46,110.81,113.88,110.7,11.73M,1.53%
11/14/2024,110.77,110.05,111.0,110.0,3.78M,1.10%
11/13/2024,109.57,111.88,111.88,109.01,4.95M,-0.83%
11/12/2024,110.49,110.07,111.94,109.75,4.97M,-0.13%
11/11/2024,110.63,113.5,113.7,109.7,9.39M,-2.49%
11/08/2024,113.45,111.51,114.0,110.7,15.63M,2.56%
11/07/2024,110.62,109.0,111.34,108.56,13.99M,1.96%
11/06/2024,108.49,109.0,110.4,107.9,10.01M,-0.07%
11/05/2024,108.57,107.6,110.48,107.56,19.20M,1.89%
11/04/2024,106.56,104.5,107.4,104.04,11.06M,2.61%
11/01/2024,103.85,104.79,104.9,103.03,6.08M,0.31%
10/31/2024,103.53,103.7,105.6,102.77,7.82M,0.23%
10/30/2024,103.29,106.25,107.38,102.25,13.69M,-1.73%
10/29/2024,105.11,103.45,105.7,102.05,6.98M,1.75%
10/28/2024,103.3,105.5,107.3,102.99,7.52M,-1.80%
10/25/2024,105.19,109.0,109.2,104.01,11.18M,-3.26%
10/24/2024,108.74,107.1,109.88,106.5,11.40M,1.63%
10/23/2024,107.0,105.99,107.74,105.56,11.58M,1.33%
10/22/2024,105.6,104.11,106.77,104.11,12.21M,1.79%
10/21/2024,103.74,102.8,105.0,99.75,15.29M,1.99%
10/18/2024,101.72,100.0,103.78,98.02,19.74M,4.65%
10/17/2024,97.2,102.0,102.5,96.11,11.40M,-4.47%
10/16/2024,101.75,98.75,102.9,98.0,24.35M,3.28%
10/15/2024,98.52,97.75,99.36,93.0,33.28M,1.57%
10/14/2024,97.0,107.26,107.26,96.26,37.18M,-10.10%
10/11/2024,107.9,110.0,110.57,101.46,58.16M,-4.09%
10/10/2024,112.5,111.99,119.4,111.2,46.57M,-1.06%
10/09/2024,113.7,111.9,117.89,109.1,39.67M,2.43%
10/08/2024,111.0,116.0,117.0,109.8,45.85M,-8.89%
10/07/2024,121.83,125.8,125.8,116.25,28.08M,-2.92%
10/04/2024,125.5,123.8,126.0,121.75,11.10M,1.45%
10/03/2024,123.71,123.99,126.5,122.78,5.28M,-0.15%
10/02/2024,123.89,126.98,128.8,123.25,9.44M,-3.09%
10/01/2024,127.84,121.4,128.0,120.05,19.62M,7.34%
09/30/2024,119.1,123.99,123.99,118.11,20.48M,-4.11%
09/27/2024,124.2,122.0,127.5,120.22,16.26M,0.69%
09/26/2024,123.35,129.0,129.5,122.51,9.99M,-3.55%
