Date,Price,Open,High,Low,Vol.,Change %
12/09/2024,175.99,174.6,179.01,172.5,8.30M,0.81%
12/06/2024,174.57,177.51,179.2,173.25,5.48M,-0.53%
12/05/2024,175.5,169.99,177.7,167.25,12.21M,4.85%
12/04/2024,167.38,167.5,169.65,164.52,5.34M,0.49%
12/03/2024,166.56,167.0,168.85,162.9,4.87M,-0.36%
12/02/2024,167.17,169.63,173.9,164.67,11.43M,-0.51%
11/29/2024,168.02,164.25,170.97,161.25,11.60M,2.55%
11/28/2024,163.85,154.99,165.0,154.11,13.30M,7.32%
11/27/2024,152.67,150.01,153.95,149.0,4.31M,6.24%
11/26/2024,143.7,154.0,154.0,141.9,6.98M,-6.73%
11/25/2024,154.07,156.0,156.0,152.5,2.36M,-0.89%
11/22/2024,155.45,158.5,162.39,154.66,6.52M,-1.56%
11/21/2024,157.92,155.9,159.85,154.0,5.52M,1.38%
11/20/2024,155.77,156.0,160.3,154.0,8.03M,-0.03%
11/19/2024,155.82,154.74,157.5,153.8,4.30M,1.32%
11/18/2024,153.79,153.0,155.0,152.5,1.82M,0.73%
11/15/2024,152.68,152.5,155.89,151.03,4.73M,0.10%
11/14/2024,152.53,150.7,154.98,150.5,7.08M,1.65%
11/13/2024,150.06,151.5,152.95,149.15,3.66M,-0.73%
11/12/2024,151.17,154.85,155.0,150.01,4.37M,-1.94%
11/11/2024,154.16,150.9,155.5,150.45,10.24M,2.73%
